Date,Time,Attendance,Gender_Demographic,Age_Demographic,Movie_Title,Genre,Producer,Distributor,Rotten_Tomatoes,IMDB,Metacritic,Certificate_Rating,Certificate_Body,Capacity,Video_System,Sound_System
2024-08-19,11:23:00,37,0.5,39.8,The World's Fastest Indian,Biography,Paramount,Universal,78,7.8,73,TV-PG,MPA,200,ABD,Audionic
2024-05-21,11:27:00,18,0.1,23.0,Marriage Story,Fantasy,Universal,DreamWorks,79,7.9,74,TV-PG,MPA,300,Dolby Digital,Dolby Digital
2024-01-15,09:00:00,17,0.6,21.9,Children of Men,Adventure,Pixar ,Paramount,79,7.9,74,A,MPA,300,ABD,Audionic
2023-09-29,10:48:00,23,0.4,38.5,Un long dimanche de fiançailles,Fantasy,20th Century Fox,Pixar ,76,7.6,71,TV-PG,MPA,300,Dolby Digital,Dolby Digital
2024-12-25,10:04:00,21,0.3,38.5,Le salaire de la peur,Adventure,Pixar ,Paramount,81,8.1,76,TV-PG,MPA,300,Dolby Digital,Dolby Digital
2023-11-05,11:10:00,38,0.2,30.9,Red River,Action,Universal,Pixar ,78,7.8,73,GP,AFI,300,Dolby Digital,Dolby Digital
2023-11-10,11:37:00,17,0.7,33.0,Das Experiment,Fantasy,20th Century Fox,Universal,77,7.7,72,PG-13,MPA,300,ABD,Audionic
2024-08-21,09:32:00,23,0.4,20.9,The Outlaw Josey Wales,Musical,Pixar ,Disney,78,7.8,73,A,MPA,200,Dolby Digital,Dolby Digital
2023-04-13,09:43:00,31,0.6,27.0,Moana,Adventure,DreamWorks,Warner Bros.,76,7.6,71,TV-PG,MPA,200,ABD,Audionic
2024-06-15,11:44:00,3,0.3,26.9,Salinui chueok,Drama,Paramount,Pixar ,81,8.1,76,Unrated,MPA,200,ABD,Audionic
2023-05-27,11:52:00,17,0.8,18.4,Kagemusha,Fantasy,Pixar ,DreamWorks,80,8.0,75,TV-PG,MPA,100,Dolby Digital,Dolby Digital
2023-01-17,10:46:00,24,0.5,20.7,The Prestige,Fantasy,LucasFilm ,Universal,85,8.5,80,TV-PG,MPA,100,Dolby Digital,Dolby Digital
2023-03-10,10:25:00,39,0.9,25.7,Primal Fear,Drama,Warner Bros.,Universal,77,7.7,72,A,MPA,100,ABD,Audionic
2023-12-21,10:49:00,15,0.2,23.7,Drishyam,Drama,Pixar ,DreamWorks,83,8.3,78,TV-PG,MPA,100,Dolby Digital,Dolby Digital
2023-05-21,10:52:00,16,0.2,36.5,WALL·E,Adventure,Pixar ,20th Century Fox,84,8.4,79,TV-PG,MPA,100,Dolby Digital,Dolby Digital
2023-02-08,10:38:00,42,1.0,16.4,Whiplash,Fantasy,20th Century Fox,Disney,85,8.5,80,A,MPA,300,ABD,Audionic
2023-09-21,11:26:00,5,0.4,34.8,Le Petit Prince,Adventure,LucasFilm ,LucasFilm ,77,7.7,72,Passed ,MPA,100,ABD,Audionic
2023-06-10,11:34:00,12,0.9,39.4,The Big Lebowski,Drama,LucasFilm ,20th Century Fox,81,8.1,76,PG-13,MPA,200,Dolby Digital,Dolby Digital
2024-04-22,09:57:00,39,0.3,34.1,The Iron Giant,Action,Paramount,20th Century Fox,80,8.0,75,Passed ,MPA,100,Dolby Digital,Dolby Digital
2023-09-30,11:46:00,19,0.6,23.6,Watchmen,Action,Warner Bros.,Disney,76,7.6,71,A,MPA,200,ABD,Audionic
2024-02-27,11:00:00,31,0.4,39.8,Rosemary's Baby,Fantasy,Warner Bros.,Disney,80,8.0,75,A,MPA,200,Dolby Digital,Dolby Digital
2024-10-08,11:18:00,36,0.9,35.1,A Bronx Tale,Drama,Warner Bros.,Warner Bros.,78,7.8,73,PG-13,MPA,100,Dolby Digital,Dolby Digital
2024-05-12,10:03:00,33,0.2,28.4,Kal Ho Naa Ho,Fantasy,Disney,Universal,80,8.0,75,TV-PG,MPA,200,ABD,Audionic
2024-07-19,09:30:00,22,0.5,29.8,Almost Famous,Adventure,20th Century Fox,Pixar ,79,7.9,74,A,MPA,300,ABD,Audionic
2023-01-21,09:51:00,23,0.1,18.2,A Clockwork Orange,Drama,Paramount,Universal,83,8.3,78,A,MPA,300,Dolby Digital,Dolby Digital
2023-01-31,09:41:00,13,0.9,17.5,Night on Earth,Fantasy,Paramount,Pixar ,78,7.8,73,PG-13,MPA,200,ABD,Audionic
2023-05-10,09:59:00,16,1.0,37.8,Kai po che!,Fantasy,DreamWorks,Paramount,77,7.7,72,TV-PG,MPA,100,Dolby Digital,Dolby Digital
2023-11-04,11:52:00,17,0.9,17.6,The Artist,Fantasy,Warner Bros.,LucasFilm ,79,7.9,74,TV-PG,MPA,100,Dolby Digital,Dolby Digital
2023-05-25,11:19:00,8,1.0,28.1,Midnight Express,Biography,DreamWorks,DreamWorks,76,7.6,71,A,MPA,200,ABD,Audionic
2024-10-22,10:18:00,16,0.3,37.5,The Message,Biography,Paramount,LucasFilm ,82,8.2,77,Passed ,MPA,100,ABD,Audionic
2023-04-22,10:04:00,40,0.9,19.4,Mad Max 2,Action,Universal,20th Century Fox,76,7.6,71,A,MPA,100,ABD,Audionic
2023-06-30,11:28:00,45,1.0,16.1,Jules et Jim,Fantasy,LucasFilm ,LucasFilm ,78,7.8,73,TV-PG,MPA,100,ABD,Audionic
2024-12-26,11:52:00,16,0.9,19.1,Nelyubov,Fantasy,DreamWorks,Universal,76,7.6,71,PG-13,MPA,200,Dolby Digital,Dolby Digital
2023-07-20,10:31:00,5,0.6,16.3,Trois couleurs: Rouge,Fantasy,Universal,Paramount,81,8.1,76,TV-PG,MPA,100,Dolby Digital,Dolby Digital
2023-03-24,09:38:00,32,0.8,19.1,The Day the Earth Stood Still,Fantasy,Pixar ,Pixar ,77,7.7,72,TV-PG,MPA,200,ABD,Audionic
2024-05-02,09:44:00,39,0.2,34.6,Song of the Sea,Adventure,Paramount,20th Century Fox,81,8.1,76,Passed ,MPA,300,Dolby Digital,Dolby Digital
2024-10-19,10:23:00,24,1.0,39.2,Citizen Kane,Fantasy,Universal,Disney,83,8.3,78,Unrated,MPA,300,ABD,Audionic
2024-06-25,11:16:00,7,0.9,17.9,50/50,Fantasy,LucasFilm ,Warner Bros.,76,7.6,71,PG-13,MPA,100,ABD,Audionic
2024-06-04,09:23:00,37,0.8,38.3,Do the Right Thing,Fantasy,Paramount,LucasFilm ,80,8.0,75,PG-13,MPA,200,ABD,Audionic
2023-11-13,11:11:00,21,0.3,31.7,Gisaengchung,Fantasy,DreamWorks,DreamWorks,86,8.6,81,Unrated,MPA,200,Dolby Digital,Dolby Digital
2024-12-11,10:07:00,25,0.1,35.4,The Hurricane,Biography,LucasFilm ,Disney,76,7.6,71,PG-13,MPA,300,ABD,Audionic
2023-07-26,11:49:00,45,0.6,26.4,Philadelphia,Fantasy,Disney,Paramount,77,7.7,72,Unrated,MPA,200,Dolby Digital,Dolby Digital
2023-12-03,10:54:00,15,0.9,24.1,Auf der anderen Seite,Fantasy,Universal,Paramount,78,7.8,73,TV-PG,MPA,100,Dolby Digital,Dolby Digital
2024-10-24,10:33:00,31,0.6,28.7,Belle de jour,Fantasy,Universal,LucasFilm ,77,7.7,72,A,MPA,100,Dolby Digital,Dolby Digital
2024-11-09,10:05:00,33,0.9,20.5,(500) Days of Summer,Fantasy,Paramount,Universal,77,7.7,72,Unrated,MPA,100,Dolby Digital,Dolby Digital
2023-08-16,10:54:00,32,0.1,16.6,The Apartment,Fantasy,Disney,Pixar ,83,8.3,78,TV-PG,MPA,200,ABD,Audionic
2023-02-10,10:56:00,50,0.0,26.0,Rashômon,Drama,LucasFilm ,Disney,82,8.2,77,TV-PG,MPA,200,Dolby Digital,Dolby Digital
2023-04-03,10:48:00,47,0.3,22.9,Where Eagles Dare,Action,Paramount,20th Century Fox,77,7.7,72,TV-PG,MPA,300,ABD,Audionic
2024-02-21,10:23:00,22,0.4,15.7,Hunt for the Wilderpeople,Adventure,Pixar ,Paramount,79,7.9,74,Unrated,MPA,200,Dolby Digital,Dolby Digital
2024-09-30,09:35:00,49,0.1,38.9,Nightcrawler,Drama,Universal,Paramount,79,7.9,74,A,MPA,200,Dolby Digital,Dolby Digital
2024-03-10,10:52:00,8,0.4,31.9,The Fall,Adventure,Disney,Paramount,79,7.9,74,PG-13,MPA,100,Dolby Digital,Dolby Digital
2024-02-12,10:35:00,42,0.4,34.2,Viskningar och rop,Fantasy,DreamWorks,Pixar ,81,8.1,76,A,MPA,300,Dolby Digital,Dolby Digital
2024-01-22,10:30:00,26,0.7,29.9,Ayla: The Daughter of War,Biography,LucasFilm ,Paramount,84,8.4,79,TV-PG,MPA,100,ABD,Audionic
2023-01-17,10:30:00,33,0.3,17.9,In Bruges,Drama,Disney,Pixar ,79,7.9,74,PG-13,MPA,200,Dolby Digital,Dolby Digital
2024-05-24,11:00:00,49,0.7,27.8,Sin City,Drama,Disney,Paramount,80,8.0,75,A,MPA,100,ABD,Audionic
2023-11-18,09:07:00,44,0.6,34.7,My Left Foot: The Story of Christy Brown,Biography,DreamWorks,Paramount,79,7.9,74,TV-PG,MPA,300,ABD,Audionic
2023-08-21,11:41:00,14,0.4,23.9,Dirty Harry,Action,LucasFilm ,Pixar ,77,7.7,72,A,MPA,100,Dolby Digital,Dolby Digital
2024-02-12,10:37:00,42,0.6,36.6,Die Welle,Fantasy,Warner Bros.,Pixar ,76,7.6,71,TV-PG,MPA,200,ABD,Audionic
2023-06-26,11:50:00,17,0.1,36.0,Mandariinid,Fantasy,Universal,20th Century Fox,82,8.2,77,TV-PG,MPA,300,ABD,Audionic
2024-03-19,09:55:00,4,0.9,39.1,Green Book,Biography,Pixar ,Warner Bros.,82,8.2,77,Unrated,MPA,100,Dolby Digital,Dolby Digital
2023-03-15,11:07:00,20,0.1,28.0,Mr. Smith Goes to Washington,Fantasy,Pixar ,LucasFilm ,81,8.1,76,GP,AFI,100,Dolby Digital,Dolby Digital
2024-12-06,11:59:00,24,0.7,19.9,Happiness,Fantasy,Disney,Warner Bros.,77,7.7,72,TV-PG,MPA,100,Dolby Digital,Dolby Digital
2023-06-07,11:33:00,11,0.6,27.3,La Strada,Fantasy,20th Century Fox,Universal,80,8.0,75,TV-PG,MPA,100,Dolby Digital,Dolby Digital
2023-11-29,11:11:00,25,0.1,15.5,The Message,Biography,Paramount,LucasFilm ,82,8.2,77,Passed ,MPA,100,ABD,Audionic
2024-04-27,10:28:00,39,0.2,39.8,Mustang,Fantasy,Pixar ,Pixar ,76,7.6,71,PG,MPA,200,ABD,Audionic
2024-09-25,10:30:00,32,0.2,31.9,Get Out,Romance,LucasFilm ,LucasFilm ,77,7.7,72,PG-13,MPA,100,Dolby Digital,Dolby Digital
2024-05-30,10:54:00,24,0.7,39.6,Tropa de Elite 2: O Inimigo Agora é Outro,Action,DreamWorks,Paramount,80,8.0,75,TV-PG,MPA,100,Dolby Digital,Dolby Digital
2024-09-13,11:43:00,28,0.6,37.5,Sling Blade,Fantasy,Warner Bros.,Pixar ,80,8.0,75,PG-13,MPA,300,Dolby Digital,Dolby Digital
2023-08-29,10:05:00,45,0.1,26.6,Gone Baby Gone,Drama,Paramount,Paramount,76,7.6,71,PG-13,MPA,200,ABD,Audionic
2023-04-07,11:28:00,39,0.3,36.6,Blade Runner,Action,Disney,20th Century Fox,81,8.1,76,Unrated,MPA,200,Dolby Digital,Dolby Digital
2023-03-12,11:33:00,9,0.5,18.0,Some Like It Hot,Sci-Fi,Warner Bros.,Warner Bros.,82,8.2,77,TV-PG,MPA,100,ABD,Audionic
2024-05-10,11:22:00,3,0.4,22.3,The Apartment,Fantasy,Disney,Pixar ,83,8.3,78,TV-PG,MPA,300,ABD,Audionic
2023-03-02,09:55:00,14,0.8,28.6,Willy Wonka & the Chocolate Factory,History,Universal,Warner Bros.,78,7.8,73,TV-PG,MPA,300,Dolby Digital,Dolby Digital
2023-11-25,11:33:00,34,0.8,15.4,Stalag 17,Fantasy,Warner Bros.,LucasFilm ,80,8.0,75,TV-PG,MPA,200,ABD,Audionic
2023-04-22,11:40:00,46,0.6,24.8,Gone with the Wind,Fantasy,20th Century Fox,20th Century Fox,81,8.1,76,TV-PG,MPA,300,ABD,Audionic
2023-04-20,09:15:00,43,0.5,26.3,Spartacus,Adventure,Paramount,Universal,79,7.9,74,A,MPA,100,Dolby Digital,Dolby Digital
2024-11-07,09:31:00,46,0.1,19.4,Spoorloos,War,Universal,Paramount,77,7.7,72,TV-PG,MPA,200,ABD,Audionic
2023-05-02,09:14:00,23,0.6,35.6,True Grit,Fantasy,DreamWorks,DreamWorks,76,7.6,71,PG,MPA,200,Dolby Digital,Dolby Digital
2024-02-25,11:16:00,49,0.3,31.9,Chinatown,Fantasy,Universal,LucasFilm ,81,8.1,76,Unrated,MPA,300,Dolby Digital,Dolby Digital
2024-12-14,11:31:00,26,0.0,23.3,The Remains of the Day,Fantasy,Paramount,Paramount,78,7.8,73,TV-PG,MPA,100,ABD,Audionic
2023-10-21,09:08:00,40,0.7,28.6,Bom Yeoareum Gaeul Gyeoul Geurigo Bom,Fantasy,DreamWorks,Universal,80,8.0,75,PG-13,MPA,100,ABD,Audionic
2024-12-25,10:42:00,23,1.0,22.4,Brokeback Mountain,Fantasy,Warner Bros.,LucasFilm ,77,7.7,72,A,MPA,100,Dolby Digital,Dolby Digital
2023-12-22,09:01:00,21,0.4,25.5,Lucky Number Slevin,Action,20th Century Fox,Pixar ,77,7.7,72,PG-13,MPA,100,Dolby Digital,Dolby Digital
2024-11-27,10:32:00,20,0.1,39.1,American Gangster,Biography,Warner Bros.,DreamWorks,78,7.8,73,A,MPA,300,Dolby Digital,Dolby Digital
2023-10-30,10:54:00,44,0.5,34.7,Toki o kakeru shôjo,Adventure,Disney,DreamWorks,77,7.7,72,TV-PG,MPA,300,ABD,Audionic
2024-08-30,09:55:00,1,0.7,26.2,My Fair Lady,Fantasy,Warner Bros.,20th Century Fox,78,7.8,73,TV-PG,MPA,100,ABD,Audionic
2024-04-22,09:57:00,25,0.3,29.3,Kubo and the Two Strings,Action,Warner Bros.,Warner Bros.,78,7.8,73,Passed ,MPA,300,ABD,Audionic
2024-11-12,09:40:00,46,0.7,30.5,Le scaphandre et le papillon,Biography,LucasFilm ,Paramount,80,8.0,75,PG,MPA,200,ABD,Audionic
2024-10-18,11:22:00,15,0.5,21.8,Taegukgi hwinalrimyeo,Action,Paramount,LucasFilm ,81,8.1,76,PG-13,MPA,100,Dolby Digital,Dolby Digital
2023-10-02,10:18:00,25,0.4,29.6,3:10 to Yuma,Action,Paramount,LucasFilm ,77,7.7,72,A,MPA,200,ABD,Audionic
2024-09-16,09:08:00,9,0.6,36.2,Capharnaüm,Fantasy,20th Century Fox,20th Century Fox,84,8.4,79,A,MPA,200,ABD,Audionic
2024-11-20,11:38:00,12,0.9,20.0,Talvar,Drama,DreamWorks,Pixar ,82,8.2,77,Unrated,MPA,100,Dolby Digital,Dolby Digital
2023-02-07,10:43:00,11,0.6,38.0,Kung fu,Action,20th Century Fox,LucasFilm ,77,7.7,72,Unrated,MPA,200,ABD,Audionic
2023-07-16,11:14:00,12,0.3,16.0,Nelyubov,Fantasy,DreamWorks,Universal,76,7.6,71,PG-13,MPA,200,Dolby Digital,Dolby Digital
2023-10-27,11:49:00,31,0.6,36.0,K.G.F: Chapter 1,Action,Pixar ,Universal,82,8.2,77,Unrated,MPA,200,ABD,Audionic
2023-12-16,09:53:00,27,0.4,32.5,A Star Is Born,Fantasy,DreamWorks,Disney,76,7.6,71,Unrated,MPA,100,Dolby Digital,Dolby Digital
2024-12-24,11:26:00,1,0.4,20.6,Die Hard: With a Vengeance,Action,20th Century Fox,Paramount,76,7.6,71,A,MPA,300,ABD,Audionic
2023-11-21,10:00:00,21,0.8,37.4,Trois couleurs: Bleu,Fantasy,Pixar ,Pixar ,79,7.9,74,TV-PG,MPA,100,Dolby Digital,Dolby Digital
2023-05-29,09:33:00,27,0.2,19.5,Breakfast at Tiffany's,Fantasy,LucasFilm ,Pixar ,76,7.6,71,A,MPA,200,ABD,Audionic
2023-04-04,11:24:00,2,0.3,27.7,"Lock, Stock and Two Smoking Barrels",Action,20th Century Fox,Warner Bros.,82,8.2,77,A,MPA,100,Dolby Digital,Dolby Digital
2023-04-23,10:23:00,48,0.5,28.5,Bound by Honor,Drama,Pixar ,20th Century Fox,80,8.0,75,PG-13,MPA,300,ABD,Audionic
2024-03-02,10:27:00,30,0.1,30.4,The Day the Earth Stood Still,Fantasy,Pixar ,Pixar ,77,7.7,72,TV-PG,MPA,300,Dolby Digital,Dolby Digital
2024-05-31,09:08:00,35,0.5,24.2,Me and Earl and the Dying Girl,Fantasy,20th Century Fox,Pixar ,77,7.7,72,PG,MPA,300,Dolby Digital,Dolby Digital
2024-03-04,09:56:00,42,0.0,32.0,Cabaret,Fantasy,Disney,LucasFilm ,78,7.8,73,A,MPA,100,Dolby Digital,Dolby Digital
2023-08-27,09:38:00,36,0.9,37.0,The Terminator,Action,20th Century Fox,LucasFilm ,80,8.0,75,Unrated,MPA,100,Dolby Digital,Dolby Digital
2024-05-30,11:55:00,8,0.8,28.4,Kari-gurashi no Arietti,Adventure,LucasFilm ,DreamWorks,76,7.6,71,TV-PG,MPA,100,Dolby Digital,Dolby Digital
2023-06-17,10:21:00,33,0.8,15.5,The Long Goodbye,Drama,DreamWorks,Disney,76,7.6,71,A,MPA,100,Dolby Digital,Dolby Digital
2024-01-23,09:24:00,35,0.1,26.8,Underground,Fantasy,LucasFilm ,20th Century Fox,81,8.1,76,TV-PG,MPA,300,ABD,Audionic
2023-11-06,10:46:00,18,0.9,33.9,Short Cuts,Fantasy,Universal,DreamWorks,77,7.7,72,PG-13,MPA,300,ABD,Audionic
2024-06-28,10:13:00,13,0.4,36.4,The African Queen,Adventure,Warner Bros.,Disney,77,7.7,72,Passed ,MPA,300,Dolby Digital,Dolby Digital
2024-08-02,11:46:00,14,0.3,31.4,Jaws,Adventure,Warner Bros.,Pixar ,80,8.0,75,A,MPA,100,ABD,Audionic
2023-02-18,09:39:00,10,0.2,26.1,Sleepers,Drama,Warner Bros.,20th Century Fox,76,7.6,71,Unrated,MPA,300,Dolby Digital,Dolby Digital
2024-11-24,11:25:00,4,0.9,27.9,La planète sauvage,Crime,Paramount,DreamWorks,78,7.8,73,TV-PG,MPA,100,Dolby Digital,Dolby Digital
2023-03-07,09:45:00,40,0.7,32.6,Gandhi,Biography,DreamWorks,20th Century Fox,80,8.0,75,TV-PG,MPA,100,Dolby Digital,Dolby Digital
2023-04-23,10:49:00,15,0.4,32.6,Hauru no ugoku shiro,Adventure,LucasFilm ,Pixar ,82,8.2,77,TV-PG,MPA,200,Dolby Digital,Dolby Digital
2024-12-11,11:48:00,31,0.2,19.0,Tangled,Adventure,Pixar ,Paramount,77,7.7,72,TV-PG,MPA,100,ABD,Audionic
2023-03-02,11:58:00,20,0.7,31.2,His Girl Friday,Fantasy,Warner Bros.,Pixar ,79,7.9,74,GP,AFI,100,Dolby Digital,Dolby Digital
2024-01-03,11:32:00,20,0.4,39.8,Blow,Biography,Disney,Warner Bros.,76,7.6,71,PG-13,MPA,100,Dolby Digital,Dolby Digital
2024-04-19,09:23:00,37,0.2,18.8,Les triplettes de Belleville,Crime,20th Century Fox,DreamWorks,78,7.8,73,PG,MPA,300,Dolby Digital,Dolby Digital
2024-12-20,10:14:00,3,0.5,39.4,Die Hard: With a Vengeance,Action,20th Century Fox,Paramount,76,7.6,71,A,MPA,200,ABD,Audionic
2024-08-14,09:43:00,48,0.8,22.5,The Departed,Drama,LucasFilm ,Pixar ,85,8.5,80,A,MPA,100,ABD,Audionic
2023-04-09,11:24:00,48,0.2,36.2,Tumbbad,Fantasy,DreamWorks,Warner Bros.,83,8.3,78,A,MPA,100,Dolby Digital,Dolby Digital
2024-10-06,11:44:00,39,0.1,29.2,Ang-ma-reul bo-at-da,Action,DreamWorks,Pixar ,78,7.8,73,TV-PG,MPA,200,Dolby Digital,Dolby Digital
2024-11-03,09:20:00,46,0.2,37.1,Misery,Fantasy,Warner Bros.,Pixar ,78,7.8,73,PG-13,MPA,300,ABD,Audionic
2023-01-03,09:25:00,27,0.2,38.7,Chhichhore,Fantasy,Warner Bros.,Universal,82,8.2,77,Unrated,MPA,200,Dolby Digital,Dolby Digital
2024-01-20,10:34:00,34,0.7,39.6,The Apartment,Fantasy,Disney,Pixar ,83,8.3,78,TV-PG,MPA,100,Dolby Digital,Dolby Digital
2024-04-01,11:44:00,44,0.0,24.5,To Be or Not to Be,Music,Warner Bros.,Warner Bros.,82,8.2,77,GP,AFI,100,Dolby Digital,Dolby Digital
2024-01-24,10:33:00,7,0.3,39.0,Django Unchained,Fantasy,Universal,Warner Bros.,84,8.4,79,A,MPA,300,Dolby Digital,Dolby Digital
2024-12-24,09:31:00,36,0.9,20.1,Mary Poppins,History,DreamWorks,Paramount,78,7.8,73,TV-PG,MPA,300,ABD,Audionic
2023-02-10,09:45:00,37,0.7,25.7,Kung fu,Action,20th Century Fox,LucasFilm ,77,7.7,72,Unrated,MPA,100,Dolby Digital,Dolby Digital
2024-11-20,09:27:00,41,0.5,37.9,Special Chabbis,Drama,Warner Bros.,Warner Bros.,80,8.0,75,Unrated,MPA,300,ABD,Audionic
2024-12-28,09:10:00,18,0.2,17.1,October Sky,Biography,LucasFilm ,Disney,78,7.8,73,Passed ,MPA,100,ABD,Audionic
2024-02-29,11:06:00,30,0.2,38.7,Dip huet seung hung,Action,Pixar ,DreamWorks,78,7.8,73,PG-13,MPA,200,Dolby Digital,Dolby Digital
2023-05-11,11:36:00,12,0.6,28.0,Oldeuboi,Action,Universal,Warner Bros.,84,8.4,79,A,MPA,100,ABD,Audionic
2023-12-07,10:55:00,23,0.4,27.8,Mary and Max,Crime,20th Century Fox,Warner Bros.,81,8.1,76,TV-PG,MPA,100,Dolby Digital,Dolby Digital
2023-11-06,09:17:00,39,1.0,24.8,Jûbê ninpûchô,Action,Pixar ,DreamWorks,79,7.9,74,A,MPA,100,Dolby Digital,Dolby Digital
2023-03-27,11:31:00,24,0.6,18.0,Kai po che!,Fantasy,DreamWorks,Paramount,77,7.7,72,TV-PG,MPA,100,Dolby Digital,Dolby Digital
2023-11-20,09:23:00,30,0.5,28.8,Kaguyahime no monogatari,Adventure,Warner Bros.,Pixar ,80,8.0,75,TV-PG,MPA,200,ABD,Audionic
2023-10-29,09:44:00,11,0.8,23.2,Boyz n the Hood,Drama,Disney,Universal,78,7.8,73,A,MPA,100,ABD,Audionic
2023-01-20,10:32:00,40,0.6,19.7,La Vie En Rose,Biography,LucasFilm ,DreamWorks,76,7.6,71,PG,MPA,300,Dolby Digital,Dolby Digital
2024-06-24,09:46:00,17,0.4,17.2,A Star Is Born,Fantasy,DreamWorks,Disney,76,7.6,71,Unrated,MPA,200,ABD,Audionic
2023-09-24,10:49:00,16,0.9,20.1,Carlito's Way,Drama,Universal,Paramount,79,7.9,74,A,MPA,200,Dolby Digital,Dolby Digital
2024-11-12,10:23:00,40,0.3,37.2,Reservoir Dogs,Drama,Pixar ,LucasFilm ,83,8.3,78,PG-13,MPA,100,Dolby Digital,Dolby Digital
2024-01-25,09:29:00,15,1.0,17.3,La haine,Drama,20th Century Fox,DreamWorks,81,8.1,76,Unrated,MPA,200,ABD,Audionic
2024-08-10,09:33:00,41,0.4,34.5,Der Untergang,Biography,Pixar ,Warner Bros.,82,8.2,77,PG-13,MPA,300,Dolby Digital,Dolby Digital
2024-01-04,09:30:00,9,0.8,31.8,Mad Max: Fury Road,Action,Paramount,LucasFilm ,81,8.1,76,Unrated,MPA,200,ABD,Audionic
2023-03-02,10:22:00,11,0.3,32.5,The Man Who Would Be King,Adventure,DreamWorks,Pixar ,78,7.8,73,Passed ,MPA,100,ABD,Audionic
2024-12-16,10:17:00,17,0.8,27.1,Sherlock Holmes,Action,Pixar ,DreamWorks,76,7.6,71,PG,MPA,100,ABD,Audionic
2023-02-17,11:02:00,30,0.0,33.1,Hana-bi,Drama,Disney,20th Century Fox,78,7.8,73,TV-PG,MPA,300,ABD,Audionic
2023-10-23,09:16:00,29,0.4,15.5,The Red Shoes,Fantasy,Paramount,LucasFilm ,81,8.1,76,TV-PG,MPA,100,Dolby Digital,Dolby Digital
2024-10-17,11:54:00,34,0.2,32.0,The Naked Gun: From the Files of Police Squad!,Drama,20th Century Fox,Warner Bros.,76,7.6,71,TV-PG,MPA,100,Dolby Digital,Dolby Digital
2024-10-15,10:10:00,10,0.4,21.4,Back to the Future Part II,Adventure,Warner Bros.,Disney,78,7.8,73,TV-PG,MPA,300,Dolby Digital,Dolby Digital
2023-08-19,09:42:00,21,0.7,36.7,Ba wang bie ji,Fantasy,20th Century Fox,Universal,81,8.1,76,PG-13,MPA,300,Dolby Digital,Dolby Digital
2023-04-11,09:25:00,4,0.3,15.4,Mississippi Burning,Drama,LucasFilm ,Warner Bros.,78,7.8,73,A,MPA,200,Dolby Digital,Dolby Digital
2023-03-29,09:05:00,10,0.3,18.1,Short Cuts,Fantasy,Universal,DreamWorks,77,7.7,72,PG-13,MPA,100,Dolby Digital,Dolby Digital
2023-06-03,11:50:00,49,0.8,38.0,Creed,Fantasy,Disney,LucasFilm ,76,7.6,71,A,MPA,200,Dolby Digital,Dolby Digital
2023-11-28,09:39:00,8,0.5,37.4,The Purple Rose of Cairo,History,LucasFilm ,Universal,77,7.7,72,TV-PG,MPA,100,Dolby Digital,Dolby Digital
2024-02-09,09:44:00,8,0.0,35.5,This Is Spinal Tap,Sci-Fi,Pixar ,Pixar ,79,7.9,74,PG-13,MPA,200,Dolby Digital,Dolby Digital
2023-07-21,09:06:00,3,0.6,28.1,Big Fish,Adventure,DreamWorks,Warner Bros.,80,8.0,75,TV-PG,MPA,200,Dolby Digital,Dolby Digital
2024-03-16,11:18:00,9,0.4,20.0,Ran,Action,Warner Bros.,Warner Bros.,82,8.2,77,TV-PG,MPA,100,Dolby Digital,Dolby Digital
2024-07-16,09:37:00,41,0.1,26.9,Barfi!,Fantasy,LucasFilm ,LucasFilm ,81,8.1,76,TV-PG,MPA,200,ABD,Audionic
2024-06-09,09:26:00,49,1.0,15.4,Kingsman: The Secret Service,Action,Paramount,LucasFilm ,77,7.7,72,A,MPA,200,ABD,Audionic
2023-07-03,10:57:00,36,0.4,29.5,Billy Elliot,Fantasy,DreamWorks,Universal,77,7.7,72,PG-13,MPA,300,ABD,Audionic
2024-04-06,11:37:00,43,0.1,25.5,Dial M for Murder,Drama,Disney,DreamWorks,82,8.2,77,A,MPA,100,Dolby Digital,Dolby Digital
2024-07-18,09:53:00,29,0.9,20.2,The Warriors,Action,Paramount,Pixar ,76,7.6,71,Unrated,MPA,200,ABD,Audionic
2024-11-09,10:57:00,8,0.2,22.4,Rockstar,Fantasy,Warner Bros.,DreamWorks,77,7.7,72,Unrated,MPA,100,ABD,Audionic
2023-12-13,10:07:00,37,0.9,16.8,Manchester by the Sea,Fantasy,DreamWorks,Paramount,78,7.8,73,Unrated,MPA,100,ABD,Audionic
2024-06-25,09:22:00,50,0.4,32.6,Spartacus,Adventure,Paramount,Universal,79,7.9,74,A,MPA,100,ABD,Audionic
2024-11-30,11:48:00,6,0.3,25.4,Philomena,Biography,Paramount,LucasFilm ,76,7.6,71,PG,MPA,300,Dolby Digital,Dolby Digital
2024-11-04,09:21:00,27,1.0,17.0,Bride of Frankenstein,Fantasy,Pixar ,Pixar ,78,7.8,73,TV-PG,MPA,100,Dolby Digital,Dolby Digital
2023-04-24,09:03:00,9,0.6,26.2,L.A. Confidential,Drama,Paramount,20th Century Fox,82,8.2,77,A,MPA,200,ABD,Audionic
2024-10-28,09:42:00,22,0.7,19.3,Coraline,Crime,DreamWorks,Warner Bros.,77,7.7,72,TV-PG,MPA,100,ABD,Audionic
